height,weight,shoot,3pt,score,rebound,assist,steal,block,position,forward,center,guard
2.01,108.9,63.8,0,15.2,6.8,1.1,0.7,0.8,0,1,0,0
1.93,106.1,44.5,24.4,8,2.7,2.3,0.8,0.5,2,0,0,1
2.06,113.4,51.3,36.8,25.4,7.9,7.9,1,0.6,0,1,0,0
2.08,100.2,43.8,36.7,12.4,6.8,1.6,0.5,0.5,0,1,0,0
1.93,99.8,35.8,34.1,4.5,1.6,1,0.5,0.3,2,0,0,1
2.01,97.5,51.1,38.1,2.4,1.1,0.1,0.1,0,0,1,0,0
2.06,111.1,41.8,34.1,6.3,4.4,1,0.3,0.3,0,1,0,0
1.9,78,43.6,31.8,15.4,3.5,4.9,1.2,0.2,2,0,0,1
2.11,120.2,63.1,0,7.9,8.9,1.9,0.9,0.7,1,0,1,0
1.98,93,41.9,34.5,9.8,3,2,0.9,0.4,2,0,0,1
1.98,86.2,42.5,38.5,14.2,4.2,5.6,1.3,0.6,2,0,0,1
1.85,97.1,41.9,36.7,11.4,3.4,3.8,0.7,0.3,2,0,0,1
1.96,97.5,44.1,33.2,9.1,7.8,2.3,0.8,0.3,2,0,0,1
2.11,99.8,72.7,0,5.4,3.4,0.5,0.3,0.5,1,0,1,0
2.11,113.4,52,14.3,6.2,6.2,1.2,0.3,0.4,1,0,1,0
2.03,86.2,47.5,38.6,23.8,4.9,4.7,0.6,0.7,0,1,0,0
1.85,77.1,41.8,35.9,6.2,1.1,2.2,0.7,0.1,2,0,0,1
2.01,99.8,16.7,0,0.4,0.3,0.3,0,0.1,0,1,0,0
2.01,128.8,62.4,34.8,26.4,7.1,3.5,0.9,0.7,0,1,0,0
2.01,108,41.7,38.3,13.9,3.3,1.7,0.8,0.7,0,1,0,0
1.93,90.7,18.2,0,0.4,0.2,0.4,0.2,0,2,0,0,1
2.01,94.8,40.5,38.1,8.9,6.8,1.8,1.6,1.3,0,1,0,0
1.98,90.7,41.2,23.8,2.8,1.1,0.2,0.3,0.2,0,1,0,0
2.11,108.9,40.6,33.3,3,4.9,0.9,0.2,0.4,0,1,0,0
1.96,95.3,49.6,33,8.1,4.3,0.9,0.8,1.1,0,1,0,0
2.08,113.4,60.5,0,12.2,11.7,1.2,0.5,0.7,1,0,1,0
1.88,88.5,44.6,37.4,29.8,4.3,7.8,0.9,0.3,2,0,0,1
1.96,99.8,44.9,37.9,5.1,2.6,0.4,0.1,0.4,0,1,0,0
1.9,86.2,44.1,40.4,24.2,3.9,4.7,1,0.5,2,0,0,1
2.11,131.5,49.1,31.3,9.7,7.4,2.6,0.9,0.9,1,0,1,0
1.9,97.5,52.6,66.7,17.5,2.5,0.5,1.5,0.5,2,0,0,1
1.9,82.1,40.9,42.2,8.2,2.4,1.5,0.2,0.1,2,0,0,1
2.11,113.4,61,23.5,14.8,11,1.5,0.4,1.1,1,0,1,0
1.96,93.4,49,35.1,25.1,4.1,4.6,0.9,0.2,2,0,0,1
1.98,94.8,52.7,41.3,13.4,4.9,2.4,0.9,0.9,0,1,0,0
1.85,90.7,37.9,32.8,2.8,1.1,1.1,0.4,0.2,2,0,0,1
2.01,100.2,53.8,45.5,7,3.6,1.4,0.6,0.4,0,1,0,0
1.98,106.6,39.7,37.2,10,5,2.1,0.8,0.3,0,1,0,0
1.85,90.7,47.9,45.7,4.9,1,0.7,0.2,0,2,0,0,1
2.03,95.3,43.4,37.3,9.8,3.3,1.4,0.6,0.3,0,1,0,0
2.13,108.9,47.1,40.6,6.6,3.7,1.6,0.3,0.4,0,1,0,0
1.9,86.6,42.2,27.6,4.3,1.8,1.5,0.6,0.2,2,0,0,1
1.96,102.1,49.1,41.9,6.7,2.6,0.8,0.4,0.4,0,1,0,0
1.83,79.4,48.1,36.4,16,4.7,8.5,1.4,0.3,2,0,0,1
1.85,83,47.5,41.5,6.8,2.1,3.6,0.6,0.2,2,0,0,1
2.08,102.1,45.2,33.7,9.8,4.2,1.3,0.6,0.1,0,1,0,0
2.08,97.5,38.1,22.2,1.3,1,0.1,0,0.1,0,1,0,0
2.03,103.9,34.4,33.3,2.1,1.3,0.4,0.4,0.1,0,1,0,0
1.98,99.8,48.9,30,20.4,4.4,7.2,1,0.3,2,0,0,1
2.06,111.1,50.5,100,4.6,3.4,0.9,0.2,1,0,1,0,0
2.03,113.4,40.9,38.7,10.8,4.9,1.5,0.8,0.6,0,1,0,0
1.96,99.8,47.1,33,13.3,6.4,1.9,0.6,0.5,0,1,0,0
1.85,83.9,48.4,100,1.7,0.4,0.5,0.1,0,2,0,0,1
2.06,106.1,47.8,35,5,3.7,0.6,0.3,0,0,1,0,0
1.85,81.6,43.8,39.4,12.8,1.7,2.5,0.7,0,2,0,0,1
1.93,81.6,45.6,31.3,15.7,7,5.3,1.4,0.1,2,0,0,1
2.16,111.1,62.8,0,7.7,7.8,1.8,0.5,1.7,1,0,1,0
2.08,103,49,32,3.8,2.2,0.2,0.2,0.2,0,1,0,0
1.96,90.7,41.2,41.2,5.3,3.1,1,0.9,0.3,2,0,0,1
1.93,92.5,42.5,35.6,11.5,2.8,1.6,0.5,0.4,2,0,0,1
1.9,93,20,0,0.5,0.3,0.4,0.4,0.1,2,0,0,1
1.93,86.2,39.5,33.9,13.2,2.6,3.3,0.7,1.1,2,0,0,1
2.08,127,57.1,0,1,1.1,0,0.1,0.3,1,0,1,0
2.01,102.5,41.2,38.5,14.5,3.8,1.9,0.5,0,0,1,0,0
1.96,113.4,44.4,40,1.5,0.6,0.2,0.2,0.1,0,1,0,0
1.93,88,42.1,35.2,17.2,4,2.2,0.8,0.2,2,0,0,1
1.85,79.4,45,42.1,16.1,3.5,5.5,1.3,0.1,2,0,0,1
2.06,120.2,63.9,0,5.9,5.5,0.8,0.5,1,0,1,0,0
1.93,95.3,33.3,0,0.7,0.5,0.8,0.2,0,2,0,0,1
2.16,117,65,0,14.7,13.4,1.2,0.5,3,1,0,1,0
1.96,97.5,38.9,38.5,2.2,0.6,0.4,0.1,0.1,2,0,0,1
2.06,106.6,20,0,0.5,0.5,0.3,0,0,0,1,0,0
2.03,99.8,53.6,49.1,12,3.7,4.3,0.6,0.2,0,1,0,0
1.85,97.5,43.9,39.9,25.7,4.5,5.5,1,0.3,2,0,0,1
2.01,105.2,41.2,27.3,0.9,0.8,0.2,0.2,0,0,1,0,0
2.01,104.3,42.5,39.5,5.3,2.1,0.7,0.3,0.1,0,1,0,0
1.93,102.5,45.5,41.4,7.3,6.7,2.5,0.8,0.5,0,1,0,0
1.96,93.4,37.5,38.8,2.1,1.7,0.3,0.2,0.2,2,0,0,1
1.93,86.2,28.6,20,2.5,2.5,1,0.5,0,2,0,0,1
2.11,106.6,50.2,35.4,13.9,7.4,0.9,0.5,0.5,0,1,0,0
2.03,102.1,48.8,36.3,15.7,6.5,3.6,0.7,0.2,0,1,0,0
1.93,91.2,46.2,40,10,2.5,2,1.5,0,2,0,0,1
1.9,83.9,48.6,33.2,24.8,3.4,7.2,1.4,0.5,2,0,0,1
1.85,75.7,37,32.3,3.1,1.1,1,0.2,0,2,0,0,1
1.96,83.9,48.7,42.3,13.2,3.3,5,1.3,0.6,2,0,0,1
2.01,99.8,55.6,60,6.5,1,1,0,0,0,1,0,0
1.93,99.8,39.9,38.5,16.7,4.6,3.2,0.8,0.3,2,0,0,1
2.08,106.6,64.7,25,14.4,9,1.8,0.7,1.7,0,1,0,0
2.01,86.2,42.5,31.3,1.9,0.5,0.5,0.1,0,2,0,0,1
1.96,104.3,42.1,32.1,3.7,1.6,0.3,0.4,0.2,2,0,0,1
2.06,102.1,56.5,42.9,4.1,2.3,0.5,0.2,0.6,0,1,0,0
1.9,86.2,60,33.3,1.4,0.8,0.2,0,0.2,2,0,0,1
2.13,120.2,55.5,0,8,6,0.6,0.2,1.4,1,0,1,0
1.98,106.6,46.2,25,1.8,1,0,0,0.1,0,1,0,0
1.96,83.9,16.7,0,3,3.5,3.5,0.5,0,2,0,0,1
1.98,99.8,41.4,33.9,10.1,3.1,2.3,0.6,0.2,2,0,0,1
2.08,108.9,58.6,0,14.6,14.1,0.9,0.8,2.2,1,0,1,0
2.06,106.6,54.4,38.2,18.4,7.8,1.3,0.5,1.1,0,1,0,0
2.06,108.9,42.9,0,1.5,2.8,0.4,0.1,0.1,0,1,0,0
2.08,105.7,42.3,40,12.8,3.7,1.5,0.6,0.2,0,1,0,0
1.83,81.6,34.5,28.1,3.9,0.9,1.5,0.4,0,2,0,0,1
1.98,102.5,36.2,32.8,4.2,2.2,0.8,0.7,0.2,0,1,0,0
2.01,86.2,41.5,36.4,11.6,3.5,3.5,1.2,0.2,2,0,0,1
2.03,102.1,50.2,35.6,16,5.1,2.1,0.9,0.5,0,1,0,0
2.08,114.8,43.5,33.3,3.9,2,0.2,0.2,0.3,0,1,0,0
1.93,93,39,37,3.5,1,1,0.3,0,2,0,0,1
2.03,106.6,58.7,0,2.7,2.3,0.2,0.3,0.5,0,1,0,0
2.03,98.9,36.5,26.2,11.2,4,1.3,1.3,0.4,0,1,0,0
1.98,96.6,51.6,57.1,5.4,2.3,1.4,0.2,0.2,2,0,0,1
1.85,81.6,43.4,36,25.6,4,9.4,0.8,0.2,2,0,0,1
1.98,101.2,48.4,39.2,24.5,5.6,3.7,1.2,0.5,2,0,0,1
1.8,90.7,48.1,33.3,5.2,1,0.5,0.3,0.1,2,0,0,1
2.26,141.1,72.7,0,2.9,2.6,0.2,0,0.8,1,0,1,0
2.18,113.4,63.6,57.1,9,4.5,1.5,0,0.5,0,1,0,0
1.96,97.5,37.6,33.9,3.8,2.3,0.4,0.3,0.5,2,0,0,1
1.98,108.9,40.8,39.2,5.3,2.9,0.8,0.3,0,0,1,0,0
1.85,88.5,45.9,41.8,73,2.3,2,0.6,0.2,2,0,0,1
1.9,99.8,39.9,33.3,13,3,5.3,1.5,0.5,2,0,0,1
2.03,95.3,45.1,38.5,25.3,6.8,4.4,1.3,0.5,0,1,0,0
2.06,115.2,53.4,0,739,8.4,1,0.4,0.4,1,0,1,0
2.11,111.1,28.6,33.3,2,2.6,0.7,0,0,0,1,0,0
1.83,83.5,39.6,35.6,18.2,3.5,4.6,1.2,0.3,2,0,0,1
1.78,79.4,32.3,40,2.8,0.7,2.6,0.2,0,2,0,0,1
1.98,107,45.5,40.7,4.9,3.2,1,0.6,0.4,0,1,0,0
2.03,107.5,71.4,0,7.7,6.7,1.6,0.9,1.9,1,0,1,0
1.9,88.5,39,32.7,3.3,1.6,1.3,0.3,0,2,0,0,1
1.98,97.5,62.5,50,6.5,1,1.5,1.5,0,2,0,0,1
1.88,83.9,50,0,1.3,0.6,0,0.3,0,2,0,0,1
2.11,122.5,75,0,1.3,1.5,0.6,0.2,0,0,1,0,0
1.93,93,20,0,1,3,0.5,1,1,2,0,0,1
1.96,90.7,51.3,42.8,27.5,5,4.8,0.9,0.4,2,0,0,1
2.13,108.9,48.1,39.1,17.2,5.8,0.9,0.5,0.4,0,1,0,0
1.93,56.2,40,12.5,1.4,0.4,0.4,0.2,0.1,2,0,0,1
2.01,95.3,51.6,40.3,7.9,2.5,4.8,0.7,0.3,2,0,0,1
1.96,88.5,42.4,33.6,8.1,3.1,2,0.9,0.5,2,0,0,1
2.03,11.1,60,0,6,2,3,1,2,0,1,0,0
1.93,99.8,37.3,33.3,7.1,3.9,1.6,0.6,0,2,0,0,1
2.11,117.9,62.1,25,21,9,4.5,0,0.5,1,0,1,0
1.96,88.5,40.9,35.1,15,4.6,4.6,0.5,0.25,2,0,0,1
2.01,97.5,46.9,37.1,9.7,4.9,1.3,0.7,0.7,0,1,0,0
2.03,106.6,59.3,24,12,6.4,4.4,1.3,0.6,0,1,0,0
1.98,51.6,45.1,37.5,15.9,5.8,6.1,1.6,0.3,2,0,0,1
2.03,115.7,57.6,0,5.4,5.4,1.3,0.3,1.1,1,0,1,0
1.98,102.1,50,37.2,9.7,5.8,2,0.6,0.7,0,1,0,0
2.06,122.5,50,0,0.7,1.3,0.1,0,0.1,0,1,0,0
1.98,90.7,25,25,1.5,0,0.5,0,0,2,0,0,1
1.85,88.5,37.6,38.1,13.9,2.5,5.1,0.9,0.1,2,0,0,1
2.01,102.1,47.3,40.8,19.8,5.7,4.1,1.2,0.3,0,1,0,0
1.96,93,40,31.7,5.1,2.4,1,0.8,0.2,0,1,0,0
1.96,93,49.1,27.3,4,2.6,1.4,0.5,0.2,0,1,0,0
2.06,93,44,28.6,4.2,2.3,0.5,0.1,0.2,0,1,0,0
1.9,90.7,46.3,41.9,13.2,2.7,1.8,0.5,0.1,2,0,0,1
2.13,111.1,50,0,1.2,0.7,0,0,0,1,0,1,0
1.85,86.2,47.6,41.6,20.5,3.9,3.4,1.3,0.3,2,0,0,1
2.01,104.3,44.1,38.1,11.9,6.6,2.8,1,1.3,0,1,0,0
2.11,108.9,50.8,15,8.7,6.9,2.1,0.7,0.4,0,1,0,0
1.93,91.6,54.6,25,8.3,4.5,1.5,0.7,0.3,2,0,0,1
1.8,79.4,33.3,34.4,3.9,1,2.9,0.4,0.3,2,0,0,1
2.11,97.5,59.3,25,8.5,4.5,0.8,0.7,1.5,0,1,0,0
1.96,97.5,37.5,28.6,6.7,4.3,3,0.7,0.3,2,0,0,1
2.08,108.9,52.4,43.4,29,7.3,5.3,0.7,1.4,0,1,0,0
2.03,106.6,49.5,41.7,9.6,3.7,1.4,0.6,0.4,0,1,0,0
2.06,113.4,61.1,50,8,4.1,1.8,0.8,0.3,0,1,0,0
1.96,99.8,46.7,36.7,26.4,8.9,11.4,1.3,0.7,2,0,0,1
1.98,99.8,51,48.6,14.1,3.4,1.7,0.6,0.2,2,0,0,1
1.88,88.5,52,40.1,28.1,4.9,5.6,1.3,0.6,2,0,0,1
1.9,54.4,39.1,36.7,5.3,1.9,1,0.4,0,2,0,0,1
2.01,96.2,73.3,0,23,15,3,2,0,0,1,0,0
2.11,120.2,76.7,0,76,7.3,1.7,0.3,1.2,1,0,1,0
2.01,99.8,37.6,34.1,6.9,6.9,1.3,0.7,0.1,2,0,0,1
2.03,113.4,41.7,25,4.1,4.1,0.9,0.3,0.3,0,1,0,0
1.93,86.2,39.1,37.4,7.8,7.8,1.1,0.5,0.1,2,0,0,1
2.11,110.2,62.3,41.7,13.8,9.7,1.7,0.4,1.7,1,0,1,0
1.85,81.6,40.5,46.2,6.1,1.7,1.9,0.4,0,2,0,0,1
1.96,95.3,39.4,27.8,6.5,2,2.1,0.4,0.1,2,0,0,1
1.85,87.1,44,39.9,16.6,2.3,5.7,1.1,0.1,2,0,0,1
2.13,113.4,25,33.3,5,14,7,0,1,1,0,1,0
2.03,113.9,31.8,33.3,5.8,3.3,1.3,0.3,0,0,1,0,0
2.01,111.1,48.7,37.9,10.1,7.1,3.1,1.8,0.6,0,1,0,0
1.96,102.1,40.5,28.3,7.8,2.7,1.8,1,0.5,0,1,0,0
2.01,14.3,35.3,30.7,10,3.5,2.6,1,0.1,0,1,0,0
2.01,98.9,35.7,39.7,8.3,3.9,2.4,0.6,0.6,0,1,0,0
1.85,86.2,47.6,27.4,23.9,2.9,4.2,1.2,0.1,2,0,0,1
1.98,104.3,44.4,17.4,4.5,2.7,0.8,0.5,0.4,0,1,0,0
1.96,83.9,30.6,23.5,4.8,1.4,1,0.8,0.5,2,0,0,1
2.06,103.4,43.4,37.9,4.5,2.6,0.9,0.3,0.3,0,1,0,0
1.98,88.9,43.8,33.8,5.2,3.5,1.1,0.6,0.4,2,0,0,1
2.03,102.1,56.1,0,5.4,3.6,0.5,0.3,0.5,0,1,0,0
2.06,115.7,56.5,28.6,19.4,9.6,5.3,0.9,1.2,1,0,1,0
2.03,97.5,30.2,21.7,6.2,4.7,1.7,0.7,0.8,0,1,0,0
2.01,104.3,48.5,20.6,21.5,7.7,7.3,1.9,0.4,0,1,0,0
1.9,86.2,43.9,34.4,13.5,3.3,4.8,0.6,0.2,2,0,0,1
1.96,88.5,41.4,32.5,15.5,5.3,3.6,0.7,0.4,2,0,0,1
1.98,97.5,37.9,33.3,4.5,3.8,2.1,1,0.5,2,0,0,1
1.88,86.2,45.7,37.2,13.5,3.1,2.6,1,0.2,2,0,0,1
2.03,97.5,40.9,29.7,2.7,2,0.4,0.2,0.3,0,1,0,0
2.01,97.5,42.5,37.4,12.7,3.7,1.7,0.6,0.2,0,1,0,0
1.96,97.5,46.7,35.7,6.7,1,0.5,0.2,0,2,0,0,1
1.9,90.7,37.9,29.5,5.8,1.2,1.5,0.5,0.1,2,0,0,1
1.98,97.1,44.3,33.3,17.4,6.1,3.1,0.7,0.2,0,1,0,0
1.98,93,41.4,38.6,9.1,3.4,1.3,0.7,0.2,2,0,0,1
1.98,97.1,42.3,40.8,13,4.5,2.2,0.8,0.3,2,0,0,1
2.06,105.2,55.4,23.1,4.6,4.9,0.7,0.5,0.7,0,1,0,0
2.01,97.5,39.2,38.8,4.6,1.7,0.5,0.3,0.2,0,1,0,0
2.11,99.8,61.4,0,5,6.2,0.7,1,2,1,0,1,0
1.93,90.7,35.9,45.9,4.1,1.4,0.8,0.85,0.1,2,0,0,1
1.9,88.5,43.8,24.3,12,3.7,3.5,0.7,0.2,2,0,0,1
1.96,96.2,12.5,0,0.2,0.2,0.1,0,0,2,0,0,1
1.9,86.2,39.1,37.6,12.8,2.3,2.3,0.5,0.2,2,0,0,1
